goal,target,indicator,series,seriesDescription,seriesCount,geoAreaCode,geoAreaName,timePeriodStart,value,valueType,time_detail,timeCoverage,upperBound,lowerBound,basePeriod,source,geoInfoUrl,footnotes,attributes,dimensions
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,12,Algeria,2022,9.67718,Float,,,,,,Food Waste Index Report / WESR,,['Very Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'RTL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,16,American Samoa,2019,139.06677,Float,,,,,,Food Waste Index Report / WESR,,[''],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'ALL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,16,American Samoa,2019,88.47944,Float,,,,,,Food Waste Index Report / WESR,,[''],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'HHS'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,16,American Samoa,2019,32.30994,Float,,,,,,Food Waste Index Report / WESR,,[''],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'OOHC'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,16,American Samoa,2019,18.2774,Float,,,,,,Food Waste Index Report / WESR,,[''],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'RTL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,16,American Samoa,2022,11.8801,Float,,,,,,Food Waste Index Report / WESR,,['Very Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'RTL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,16,American Samoa,2022,18.6004,Float,,,,,,Food Waste Index Report / WESR,,['Very Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'OOHC'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,16,American Samoa,2022,73.5975,Float,,,,,,Food Waste Index Report / WESR,,['Very Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'HHS'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,16,American Samoa,2022,104.07799,Float,,,,,,Food Waste Index Report / WESR,,['Very Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'ALL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,19,Americas,2019,68.51509,Float,,,,,,Food Waste Index Report 2021,,[''],"{'Nature': 'N', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'HHS'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,19,Americas,2019,15.43242,Float,,,,,,Food Waste Index Report 2021,,[''],"{'Nature': 'N', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'RTL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,20,Andorra,2019,25.82397,Float,,,,,,Food Waste Index Report / WESR,,[''],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'OOHC'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,20,Andorra,2019,12.93834,Float,,,,,,Food Waste Index Report / WESR,,[''],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'RTL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,20,Andorra,2019,123.87032,Float,,,,,,Food Waste Index Report / WESR,,[''],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'ALL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,20,Andorra,2019,85.10801,Float,,,,,,Food Waste Index Report / WESR,,[''],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'HHS'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,20,Andorra,2022,82.66014,Float,,,,,,Food Waste Index Report / WESR,,['Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'HHS'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,20,Andorra,2022,112.97667,Float,,,,,,Food Waste Index Report / WESR,,['Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'ALL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,20,Andorra,2022,10.79252,Float,,,,,,Food Waste Index Report / WESR,,['Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'RTL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,20,Andorra,2022,19.52402,Float,,,,,,Food Waste Index Report / WESR,,['Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'OOHC'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,24,Angola,2019,140.54658,Float,,,,,,Food Waste Index Report / WESR,,[''],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'ALL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,24,Angola,2019,97.96511,Float,,,,,,Food Waste Index Report / WESR,,[''],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'HHS'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,24,Angola,2019,27.19662,Float,,,,,,Food Waste Index Report / WESR,,[''],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'OOHC'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,24,Angola,2019,15.38485,Float,,,,,,Food Waste Index Report / WESR,,[''],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'RTL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,24,Angola,2022,9.67815,Float,,,,,,Food Waste Index Report / WESR,,['Very Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'RTL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,24,Angola,2022,31.13832,Float,,,,,,Food Waste Index Report / WESR,,['Very Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'OOHC'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,24,Angola,2022,89.1273,Float,,,,,,Food Waste Index Report / WESR,,['Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'HHS'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,24,Angola,2022,129.94378,Float,,,,,,Food Waste Index Report / WESR,,['Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'ALL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,660,Anguilla,2022,18.16005,Float,,,,,,Food Waste Index Report / WESR,,['Very Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'RTL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,660,Anguilla,2022,166.23583,Float,,,,,,Food Waste Index Report / WESR,,['Very Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'ALL'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,660,Anguilla,2022,28.77963,Float,,,,,,Food Waste Index Report / WESR,,['Very Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'OOHC'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,660,Anguilla,2022,119.29615,Float,,,,,,Food Waste Index Report / WESR,,['Very Low Confidence'],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'HHS'}"
['12'],['12.3'],['12.3.1'],AG_FOOD_WST_PC,Food waste per capita (KG),2171,28,Antigua and Barbuda,2019,118.37742,Float,,,,,,Food Waste Index Report / WESR,,[''],"{'Nature': 'E', 'Units': 'KG', 'Observation Status': 'A'}","{'Reporting Type': 'G', 'Food Waste Sector': 'ALL'}"
