id,goal,target,indicator,series,seriesdescription,seriescount,geoareacode,country,year,value,valuetype,source,footnotes,attributes,dimensions
bulgaria2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2019,15.52395,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
bulgaria2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2019,67.87169,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
bulgaria2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2019,27.44253,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
bulgaria2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2020,17.46152,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
bulgaria2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2020,54.87712,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
bulgaria2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2020,6.6826,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
bulgaria2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2020,79.02123,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
bulgaria2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2021,75.55591,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
bulgaria2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2021,5.98487,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
bulgaria2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2021,52.57739,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
bulgaria2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2021,16.99365,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
bulgaria2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2022,1.99942,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
bulgaria2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2022,25.99251,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
bulgaria2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2022,1.99942,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
bulgaria2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,100,Bulgaria,2022,29.99136,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
croatia2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2019,122.67038,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
croatia2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2019,25.57381,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
croatia2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2019,84.28356,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
croatia2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2019,12.81301,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
croatia2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2020,1.02029,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
croatia2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2020,52.8074,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
croatia2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2020,3.67891,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
croatia2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2020,57.5066,Float,Eurostat,,"Nature: C, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
croatia2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2021,3.64446,Float,Eurostat,"Since there is no public breakdown of the amount of household food waste recycled, it is classified among others.","Nature: C, Units: KG, Observation Status: E","Reporting Type: G, Food Waste Sector: OOHC"
croatia2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2021,52.31255,Float,Eurostat,"Since there is no public breakdown of the amount of household food waste recycled, it is classified among others.","Nature: C, Units: KG, Observation Status: E","Reporting Type: G, Food Waste Sector: HHS"
croatia2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2021,1.01056,Float,Eurostat,"Since there is no public breakdown of the amount of household food waste recycled, it is classified among others.","Nature: C, Units: KG, Observation Status: E","Reporting Type: G, Food Waste Sector: RTL"
croatia2021,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2021,56.96756,Float,Eurostat,"Since there is no public breakdown of the amount of household food waste recycled, it is classified among others.","Nature: C, Units: KG, Observation Status: E","Reporting Type: G, Food Waste Sector: ALL"
croatia2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2022,57.99485,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
croatia2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2022,0.99991,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
croatia2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2022,52.99529,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
croatia2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,191,Croatia,2022,3.99964,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
cyprus2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,196,Cyprus,2019,129.64335,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
cyprus2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,196,Cyprus,2019,12.49608,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
cyprus2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,196,Cyprus,2019,92.20602,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
cyprus2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,196,Cyprus,2019,24.94125,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
cyprus2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,196,Cyprus,2020,21.9347,Float,Eurostat,The Japan estimates are scheduled for late spring or early summer of 2023.,"Nature: C, Units: KG, Observation Status: D","Reporting Type: G, Food Waste Sector: OOHC"
