id,country,total,substances,clothing,house_utilities,house_maintenance,health,transport,communications,recreation_culture,education,restaurants_hotels,food,beverages,miscellaneous,year
slovakia2021,Slovakia,55564.2,2943.9,2304,17467.7,3485.8,1556.8,2922.9,1721.1,4452.5,729.9,2664.9,9720.3,849.4,4745.2,2021
finland2021,Finland,123226,6144,4454,37057,6337,6311,13265,2980,11375,436,6512,13529,1433,13393,2021
sweden2021,Sweden,228596.7,7811.7,9287.3,58901.5,15826.9,6983.7,27397.1,7377.4,26162.3,700.2,13219.3,26097.2,3288.8,25543.1,2021
iceland2021,Iceland,11074.8,465.7,419.4,2786.3,634.3,308.1,1421,354.7,1165.9,113.4,1152.4,1220.3,208.3,825,2021
norway2021,Norway,149634.4,6833.4,6890.4,35376.3,10485.6,4943.5,21889.2,3178.7,16543.9,677.8,8631.5,16290.6,2504.2,15389.3,2021
switzerland2021,Switzerland,327592,12853.9,7433.3,88098.6,11872.7,58408.7,29116.2,8347.7,19255.8,3577.2,19832.7,:,:,36525.2,2021
bosnia and herzegovina2021,Bosnia and Herzegovina,14150.9,1168.9,683.5,1947.7,937.5,679.1,1005.6,351.4,640,200.5,991.6,3973.9,461.3,1109.9,2021
montenegro2021,Montenegro,4338.9,268.6,215.8,563.2,421.7,102.6,409.5,146.5,187.6,37.5,562.5,:,:,250.2,2021
north macedonia2021,North Macedonia,8079.8,419.5,327.7,1849.8,223.1,191.3,688.9,219.9,366.9,88.8,545,2194.8,271.8,692.2,2021
albania2021,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2021
serbia2021,Serbia,34851.4,2947,1533.6,6793.7,1637.4,1748,4143.8,1923.7,2106.4,357.7,1092,7167.1,915.6,2485.4,2021
turkey2021,Turkey,403225.2,12025.4,28046.1,52821.7,34870.5,9223.2,64811.7,11114.8,28144.3,5910,31002.6,:,:,31455.6,2021
